"Time","JIT","AOT"
2024-05-11 21:59:42,,
2024-05-11 21:59:43,,
2024-05-11 21:59:44,,
2024-05-11 21:59:45,,
2024-05-11 21:59:46,,
2024-05-11 21:59:47,,
2024-05-11 21:59:48,,
2024-05-11 21:59:49,,
2024-05-11 21:59:50,,
2024-05-11 21:59:51,,
2024-05-11 21:59:52,,
2024-05-11 21:59:53,,
2024-05-11 21:59:54,,
2024-05-11 21:59:55,,
2024-05-11 21:59:56,,
2024-05-11 21:59:57,,
2024-05-11 21:59:58,,
2024-05-11 21:59:59,,
2024-05-11 22:00:00,,
2024-05-11 22:00:01,,
2024-05-11 22:00:02,,
2024-05-11 22:00:03,,
2024-05-11 22:00:04,,
2024-05-11 22:00:05,,
2024-05-11 22:00:06,,
2024-05-11 22:00:07,,
2024-05-11 22:00:08,,
2024-05-11 22:00:09,,
2024-05-11 22:00:10,,
2024-05-11 22:00:11,,
2024-05-11 22:00:12,,
2024-05-11 22:00:13,,
2024-05-11 22:00:14,,
2024-05-11 22:00:15,,
2024-05-11 22:00:16,,
2024-05-11 22:00:17,,
2024-05-11 22:00:18,,
2024-05-11 22:00:19,,
2024-05-11 22:00:20,,
2024-05-11 22:00:21,,
2024-05-11 22:00:22,,
2024-05-11 22:00:23,,
2024-05-11 22:00:24,,
2024-05-11 22:00:25,,
2024-05-11 22:00:26,,
2024-05-11 22:00:27,,
2024-05-11 22:00:28,,
2024-05-11 22:00:29,,
2024-05-11 22:00:30,,
2024-05-11 22:00:31,,
2024-05-11 22:00:32,,
2024-05-11 22:00:33,,
2024-05-11 22:00:34,,
2024-05-11 22:00:35,,
2024-05-11 22:00:36,,
2024-05-11 22:00:37,,
2024-05-11 22:00:38,,
2024-05-11 22:00:39,,
2024-05-11 22:00:40,,
2024-05-11 22:00:41,,
2024-05-11 22:00:42,,
2024-05-11 22:00:43,,
2024-05-11 22:00:44,,
2024-05-11 22:00:45,156 ms,
2024-05-11 22:00:46,73.2 ms,
2024-05-11 22:00:47,117 ms,
2024-05-11 22:00:48,47.2 ms,
2024-05-11 22:00:49,58.5 ms,
2024-05-11 22:00:50,30.9 ms,
2024-05-11 22:00:51,93.8 ms,
2024-05-11 22:00:52,22.5 ms,
2024-05-11 22:00:53,85.1 ms,
2024-05-11 22:00:54,54.2 ms,
2024-05-11 22:00:55,93.1 ms,
2024-05-11 22:00:56,32.5 ms,
2024-05-11 22:00:57,49.2 ms,
2024-05-11 22:00:58,45.5 ms,
2024-05-11 22:00:59,48.2 ms,
2024-05-11 22:01:00,71.4 ms,
2024-05-11 22:01:01,,
2024-05-11 22:01:02,78.5 ms,
2024-05-11 22:01:03,54.1 ms,
2024-05-11 22:01:04,107 ms,
2024-05-11 22:01:05,53.0 ms,
2024-05-11 22:01:06,49.7 ms,
2024-05-11 22:01:07,92.0 ms,
2024-05-11 22:01:08,,
2024-05-11 22:01:09,60.6 ms,
2024-05-11 22:01:10,54.1 ms,
2024-05-11 22:01:11,47.2 ms,
2024-05-11 22:01:12,79.3 ms,
2024-05-11 22:01:13,69.2 ms,
2024-05-11 22:01:14,60.0 ms,
2024-05-11 22:01:15,60.7 ms,
2024-05-11 22:01:16,89.7 ms,
2024-05-11 22:01:17,,
2024-05-11 22:01:18,51.1 ms,
2024-05-11 22:01:19,52.7 ms,
2024-05-11 22:01:20,69.1 ms,
2024-05-11 22:01:21,60.2 ms,
2024-05-11 22:01:22,47.9 ms,
2024-05-11 22:01:23,122 ms,
2024-05-11 22:01:24,43.5 ms,
2024-05-11 22:01:25,106 ms,
2024-05-11 22:01:26,7.01 ms,
2024-05-11 22:01:27,49.9 ms,
2024-05-11 22:01:28,48.5 ms,
2024-05-11 22:01:29,48.9 ms,
2024-05-11 22:01:30,48.7 ms,
2024-05-11 22:01:31,46.0 ms,
2024-05-11 22:01:32,50.0 ms,
2024-05-11 22:01:33,62.2 ms,
2024-05-11 22:01:34,46.0 ms,
2024-05-11 22:01:35,45.2 ms,
2024-05-11 22:01:36,,
2024-05-11 22:01:37,59.5 ms,
2024-05-11 22:01:38,47.9 ms,
2024-05-11 22:01:39,47.3 ms,
2024-05-11 22:01:40,50.1 ms,
2024-05-11 22:01:41,48.7 ms,
2024-05-11 22:01:42,69.0 ms,
2024-05-11 22:01:43,54.6 ms,
2024-05-11 22:01:44,54.6 ms,
2024-05-11 22:01:45,,
2024-05-11 22:01:46,,
2024-05-11 22:01:47,,
2024-05-11 22:01:48,,50.4 ms
2024-05-11 22:01:49,,53.2 ms
2024-05-11 22:01:50,,46.9 ms
2024-05-11 22:01:51,,
2024-05-11 22:01:52,,52.0 ms
2024-05-11 22:01:53,,44.0 ms
2024-05-11 22:01:54,,44.1 ms
2024-05-11 22:01:55,,49.5 ms
2024-05-11 22:01:56,,50.2 ms
2024-05-11 22:01:57,,52.2 ms
2024-05-11 22:01:58,,44.1 ms
2024-05-11 22:01:59,,44.9 ms
2024-05-11 22:02:00,,50.2 ms
2024-05-11 22:02:01,,
2024-05-11 22:02:02,,49.1 ms
2024-05-11 22:02:03,,53.2 ms
2024-05-11 22:02:04,,47.9 ms
2024-05-11 22:02:05,,48.7 ms
2024-05-11 22:02:06,,48.9 ms
2024-05-11 22:02:07,,73.5 ms
2024-05-11 22:02:08,,39.5 ms
2024-05-11 22:02:09,,47.4 ms
2024-05-11 22:02:10,,61.5 ms
2024-05-11 22:02:11,,100 ms
2024-05-11 22:02:12,,9.78 ms
2024-05-11 22:02:13,,49.7 ms
2024-05-11 22:02:14,,48.1 ms
2024-05-11 22:02:15,,47.5 ms
2024-05-11 22:02:16,,54.5 ms
2024-05-11 22:02:17,,54.1 ms
2024-05-11 22:02:18,,49.4 ms
2024-05-11 22:02:19,,50.0 ms
2024-05-11 22:02:20,,49.1 ms
2024-05-11 22:02:21,,51.4 ms
2024-05-11 22:02:22,,
2024-05-11 22:02:23,,51.8 ms
2024-05-11 22:02:24,,48.7 ms
2024-05-11 22:02:25,,55.5 ms
2024-05-11 22:02:26,,50.9 ms
2024-05-11 22:02:27,,58.8 ms
2024-05-11 22:02:28,,56.4 ms
2024-05-11 22:02:29,,89.8 ms
2024-05-11 22:02:30,,56.9 ms
2024-05-11 22:02:31,,
2024-05-11 22:02:32,,51.9 ms
2024-05-11 22:02:33,,51.9 ms
2024-05-11 22:02:34,,48.2 ms
2024-05-11 22:02:35,,47.8 ms
2024-05-11 22:02:36,,48.0 ms
2024-05-11 22:02:37,,36.6 ms
2024-05-11 22:02:38,,51.9 ms
2024-05-11 22:02:39,,56.9 ms
2024-05-11 22:02:40,,51.0 ms
2024-05-11 22:02:41,,53.6 ms
2024-05-11 22:02:42,,
2024-05-11 22:02:43,,48.0 ms
2024-05-11 22:02:44,,65.9 ms
2024-05-11 22:02:45,,48.5 ms
2024-05-11 22:02:46,,54.7 ms
2024-05-11 22:02:47,,42.3 ms
2024-05-11 22:02:48,,48.7 ms
2024-05-11 22:02:49,,
2024-05-11 22:02:50,,
2024-05-11 22:02:51,,
2024-05-11 22:02:52,,
2024-05-11 22:02:53,,
2024-05-11 22:02:54,,
2024-05-11 22:02:55,,
2024-05-11 22:02:56,,
2024-05-11 22:02:57,,
2024-05-11 22:02:58,,
2024-05-11 22:02:59,,
2024-05-11 22:03:00,,
2024-05-11 22:03:01,,
2024-05-11 22:03:02,,
2024-05-11 22:03:03,,
2024-05-11 22:03:04,,
2024-05-11 22:03:05,,
2024-05-11 22:03:06,,
2024-05-11 22:03:07,,
2024-05-11 22:03:08,,
2024-05-11 22:03:09,,
2024-05-11 22:03:10,,
2024-05-11 22:03:11,,
2024-05-11 22:03:12,,
2024-05-11 22:03:13,,
2024-05-11 22:03:14,,
2024-05-11 22:03:15,,
2024-05-11 22:03:16,,
2024-05-11 22:03:17,,
2024-05-11 22:03:18,,
2024-05-11 22:03:19,,
2024-05-11 22:03:20,,
2024-05-11 22:03:21,,
2024-05-11 22:03:22,,
2024-05-11 22:03:23,,
2024-05-11 22:03:24,,
2024-05-11 22:03:25,,
2024-05-11 22:03:26,,
2024-05-11 22:03:27,,
2024-05-11 22:03:28,,
2024-05-11 22:03:29,,
2024-05-11 22:03:30,,
2024-05-11 22:03:31,,
2024-05-11 22:03:32,,
2024-05-11 22:03:33,,
2024-05-11 22:03:34,,
2024-05-11 22:03:35,,
2024-05-11 22:03:36,,
2024-05-11 22:03:37,,
2024-05-11 22:03:38,,
2024-05-11 22:03:39,,
2024-05-11 22:03:40,,
2024-05-11 22:03:41,,
2024-05-11 22:03:42,,
2024-05-11 22:03:43,,
2024-05-11 22:03:44,,
2024-05-11 22:03:45,,
2024-05-11 22:03:46,,
2024-05-11 22:03:47,,
2024-05-11 22:03:48,,
2024-05-11 22:03:49,,
2024-05-11 22:03:50,,
2024-05-11 22:03:51,,
2024-05-11 22:03:52,,
2024-05-11 22:03:53,,
2024-05-11 22:03:54,,
2024-05-11 22:03:55,,
2024-05-11 22:03:56,,
2024-05-11 22:03:57,,
2024-05-11 22:03:58,,
2024-05-11 22:03:59,,
2024-05-11 22:04:00,,
2024-05-11 22:04:01,,
2024-05-11 22:04:02,,
2024-05-11 22:04:03,,
2024-05-11 22:04:04,,
2024-05-11 22:04:05,,
2024-05-11 22:04:06,,
2024-05-11 22:04:07,,
2024-05-11 22:04:08,,
2024-05-11 22:04:09,,
2024-05-11 22:04:10,,
2024-05-11 22:04:11,,
2024-05-11 22:04:12,,
2024-05-11 22:04:13,,
2024-05-11 22:04:14,,
2024-05-11 22:04:15,,
2024-05-11 22:04:16,,
2024-05-11 22:04:17,,
2024-05-11 22:04:18,,
2024-05-11 22:04:19,,
2024-05-11 22:04:20,,
2024-05-11 22:04:21,,
2024-05-11 22:04:22,,
2024-05-11 22:04:23,,
2024-05-11 22:04:24,,
2024-05-11 22:04:25,,
2024-05-11 22:04:26,,
2024-05-11 22:04:27,,
2024-05-11 22:04:28,,
2024-05-11 22:04:29,,
2024-05-11 22:04:30,,
2024-05-11 22:04:31,,
2024-05-11 22:04:32,,
2024-05-11 22:04:33,,
2024-05-11 22:04:34,,
2024-05-11 22:04:35,,
2024-05-11 22:04:36,,
2024-05-11 22:04:37,,
2024-05-11 22:04:38,,
2024-05-11 22:04:39,,
2024-05-11 22:04:40,,
2024-05-11 22:04:41,,
2024-05-11 22:04:42,,